city_departure,city_arrival,flight_no,scheduled_departure,scheduled_arrival,model,avg_amount
Москва,Санкт-Петербург,PG0012,2016-09-15 06:55:00+00:00,2016-09-15 08:40:00+00:00,Bombardier CRJ-200,12300.000000000000
Москва,Санкт-Петербург,PG0012,2016-09-17 06:55:00+00:00,2016-09-17 08:40:00+00:00,Bombardier CRJ-200,12300.000000000000
Москва,Санкт-Петербург,PG0012,2016-09-19 06:55:00+00:00,2016-09-19 08:40:00+00:00,Bombardier CRJ-200,12300.000000000000
Москва,Санкт-Петербург,PG0012,2016-09-22 06:55:00+00:00,2016-09-22 08:40:00+00:00,Bombardier CRJ-200,12300.000000000000
Москва,Санкт-Петербург,PG0012,2016-09-24 06:55:00+00:00,2016-09-24 08:40:00+00:00,Bombardier CRJ-200,12400.000000000000
Москва,Санкт-Петербург,PG0012,2016-09-26 06:55:00+00:00,2016-09-26 08:40:00+00:00,Bombardier CRJ-200,12409.090909090909
Москва,Санкт-Петербург,PG0012,2016-09-29 06:55:00+00:00,2016-09-29 08:40:00+00:00,Bombardier CRJ-200,12354.545454545455
Москва,Санкт-Петербург,PG0012,2016-10-01 06:55:00+00:00,2016-10-01 08:40:00+00:00,Bombardier CRJ-200,12460.000000000000
Москва,Санкт-Петербург,PG0012,2016-10-03 06:55:00+00:00,2016-10-03 08:40:00+00:00,Bombardier CRJ-200,12363.157894736842
Москва,Санкт-Петербург,PG0012,2016-10-06 06:55:00+00:00,2016-10-06 08:40:00+00:00,Bombardier CRJ-200,12438.461538461538
Москва,Санкт-Петербург,PG0012,2016-10-08 06:55:00+00:00,2016-10-08 08:40:00+00:00,Bombardier CRJ-200,12400.000000000000
Москва,Санкт-Петербург,PG0012,2016-10-10 06:55:00+00:00,2016-10-10 08:40:00+00:00,Bombardier CRJ-200,12300.000000000000
Москва,Санкт-Петербург,PG0012,2016-10-13 06:55:00+00:00,2016-10-13 08:40:00+00:00,Bombardier CRJ-200,12414.285714285714
Москва,Санкт-Петербург,PG0012,2016-10-15 06:55:00+00:00,2016-10-15 08:40:00+00:00,Bombardier CRJ-200,12484.615384615385
Москва,Санкт-Петербург,PG0012,2016-10-17 06:55:00+00:00,2016-10-17 08:40:00+00:00,Bombardier CRJ-200,12370.588235294118
Москва,Санкт-Петербург,PG0012,2016-10-20 06:55:00+00:00,2016-10-20 08:40:00+00:00,Bombardier CRJ-200,12350.000000000000
Москва,Санкт-Петербург,PG0012,2016-10-22 06:55:00+00:00,2016-10-22 08:40:00+00:00,Bombardier CRJ-200,12409.090909090909
Москва,Санкт-Петербург,PG0012,2016-10-24 06:55:00+00:00,2016-10-24 08:40:00+00:00,Bombardier CRJ-200,12441.176470588235
Москва,Санкт-Петербург,PG0012,2016-10-27 06:55:00+00:00,2016-10-27 08:40:00+00:00,Bombardier CRJ-200,12441.176470588235
Москва,Санкт-Петербург,PG0012,2016-10-29 06:55:00+00:00,2016-10-29 08:40:00+00:00,Bombardier CRJ-200,12300.000000000000
