order_id,product_id,quantity,price
1,19,4,920.15
1,12,4,690.68
1,10,4,150.22
2,1,2,238.43
2,9,5,554.43
2,4,5,634.72
3,8,4,284.73
4,1,1,227.79
4,10,4,179.94
4,4,5,676.87
4,11,2,289.64
4,4,2,184.82
5,10,5,183.26
6,8,3,297.88
6,16,5,515.2
6,9,2,652.46
7,12,5,642.74
7,7,3,643.14
7,9,1,768.93
7,14,2,277.18
8,2,1,262.81
9,9,2,369.43
9,5,1,185.36
10,19,1,685.06
10,6,5,214.79
11,4,3,888.16
11,5,2,291.55
12,6,5,414.79
13,12,5,516.06
13,17,3,718.49
13,19,5,243.6
14,14,5,729.26
14,14,5,925.98
14,18,2,887.37
14,14,3,582.43
14,4,1,470.69
15,2,2,433.0
16,17,5,470.12
16,3,2,217.0
16,3,4,772.48
16,6,5,795.49
16,6,2,717.33
17,7,2,452.74
17,15,1,320.25
17,18,4,829.87
17,19,4,746.42
17,1,4,471.57
18,14,3,706.27
18,17,5,594.98
18,16,2,259.3
18,6,2,312.55
19,10,2,719.55
20,20,2,822.2
21,16,3,593.96
21,7,4,587.97
22,18,1,141.95
22,12,4,127.65
22,16,1,943.07
23,2,5,778.88
23,12,4,375.18
24,20,5,370.05
24,2,1,448.4
24,18,4,731.12
24,7,5,124.38
25,16,3,663.69
25,12,4,357.59
25,8,4,476.27
25,3,3,830.29
26,1,3,836.48
27,10,5,962.48
27,4,4,190.88
27,6,5,116.56
28,9,5,996.67
28,5,4,260.39
28,11,5,294.8
29,5,1,286.61
29,12,1,897.14
30,8,4,973.24
30,2,4,793.73
30,13,3,493.03
30,14,3,755.48
31,3,4,152.04
31,19,3,692.54
31,3,4,866.0
31,12,2,937.35
31,14,5,969.24
32,13,5,667.87
32,9,2,471.05
32,7,2,700.56
33,7,3,500.79
33,18,4,957.98
33,2,4,313.65
33,10,3,192.04
33,6,1,260.04
34,5,4,782.02
34,17,5,281.82
34,10,4,106.54
34,20,2,991.09
35,13,1,551.05
35,1,5,529.54
35,19,1,358.01
36,18,3,952.46
36,17,1,465.73
36,10,2,960.4
36,6,1,726.89
37,2,3,844.87
37,16,1,977.88
37,11,5,542.81
37,14,2,215.53
38,19,1,819.97
38,18,5,196.04
38,13,2,882.22
38,19,4,156.15
39,7,1,280.37
39,16,2,890.05
39,18,2,988.86
40,18,2,298.63
40,20,5,403.81
40,4,1,952.41
40,4,2,482.71
40,16,2,305.72
41,17,5,997.71
41,9,5,954.96
41,18,5,205.43
41,9,2,888.09
42,6,1,313.05
42,19,4,416.36
43,8,5,495.8
43,6,5,449.19
43,20,5,436.03
43,12,2,567.72
44,6,3,677.09
44,8,3,653.29
44,17,4,930.04
45,14,5,139.34
45,19,4,824.08
46,19,2,992.73
47,12,2,522.6
47,7,1,900.85
47,20,5,207.9
47,8,1,146.63
47,17,2,137.56
48,1,1,835.12
48,9,3,972.02
49,20,4,764.15
49,14,5,485.71
49,8,1,495.57
49,10,4,121.91
50,8,2,753.46
50,9,4,544.48
50,17,3,951.54
51,14,5,232.53
51,14,4,297.08
51,12,2,261.45
52,18,2,473.29
52,4,1,390.03
52,1,5,736.76
53,7,1,814.57
54,7,3,364.33
54,15,1,297.62
54,20,5,886.57
55,11,4,927.67
55,11,1,475.23
55,17,1,570.05
56,17,2,105.67
56,13,1,355.83
56,3,4,755.9
57,17,4,314.95
57,5,3,350.63
57,19,4,243.51
57,15,5,832.51
57,3,1,211.55
58,12,1,785.26
59,7,1,394.56
59,1,4,106.22
59,10,5,223.62
59,19,3,474.21
60,11,5,223.9
60,15,4,373.91
60,1,5,621.89
61,11,3,814.85
61,4,2,987.14
61,2,1,345.38
61,13,4,629.41
61,17,2,653.26
62,3,1,822.65
62,4,1,775.52
63,2,5,374.16
63,8,3,559.0
64,12,1,465.13
64,4,5,637.6
64,10,4,472.36
64,8,4,875.45
65,9,4,953.55
65,16,3,461.57
66,18,4,176.06
66,19,5,651.76
66,20,2,852.28
66,5,1,293.49
66,13,1,601.58
67,14,2,350.0
68,19,4,183.77
68,3,5,674.23
69,18,2,390.58
70,6,4,329.94
71,12,2,807.53
71,14,4,639.19
72,7,2,165.76
72,3,3,382.23
73,9,3,567.37
74,4,4,156.29
75,19,2,644.29
75,15,4,370.7
75,10,5,447.63
75,18,1,623.74
75,1,3,695.86
76,13,4,579.45
76,6,4,344.6
77,3,1,731.25
77,6,4,750.48
78,17,4,860.97
79,6,2,959.78
80,2,2,831.5
80,12,5,622.41
81,17,5,166.18
81,14,2,283.24
81,14,5,613.5
81,14,4,184.9
81,10,4,837.55
82,18,4,196.38
82,20,3,104.05
82,8,2,122.95
83,8,3,368.75
83,9,2,716.55
83,5,5,975.78
83,1,4,774.01
84,18,5,384.93
84,10,2,654.08
84,16,5,828.73
84,5,3,908.17
84,1,4,887.94
85,12,2,795.99
85,16,2,312.12
85,2,3,481.23
86,3,4,225.68
87,19,2,215.24
87,13,5,151.68
87,16,3,512.73
87,4,3,904.88
87,13,5,945.91
88,4,4,298.7
88,2,4,364.8
88,19,4,746.74
88,10,2,945.83
89,18,5,804.55
90,6,3,481.6
91,8,2,282.88
91,8,3,602.05
91,8,1,150.94
91,2,3,363.16
92,16,1,714.01
92,9,3,445.78
92,9,2,388.82
93,19,4,913.67
94,2,2,452.91
95,13,4,118.39
95,20,5,314.57
95,16,4,470.27
95,14,4,799.05
96,7,1,653.37
96,20,1,229.84
96,17,4,417.56
96,1,4,641.82
97,16,3,994.83
97,6,5,541.01
98,16,2,207.11
98,8,2,841.03
98,8,4,445.21
98,14,1,798.54
98,13,3,637.36
99,20,5,207.25
100,12,3,110.34
100,12,4,543.45
100,6,2,125.18
