order_id,order_date
1,2025-07-11
2,2025-07-01
3,2025-07-15
4,2025-07-15
5,2025-07-08
6,2025-07-03
7,2025-07-13
8,2025-07-12
9,2025-07-03
10,2025-07-14
11,2025-07-05
12,2025-07-11
13,2025-07-12
14,2025-07-12
15,2025-07-10
16,2025-07-12
17,2025-07-08
18,2025-07-12
19,2025-07-13
20,2025-07-09
21,2025-07-13
22,2025-07-14
23,2025-07-10
24,2025-07-10
25,2025-07-13
26,2025-07-01
27,2025-07-11
28,2025-07-09
29,2025-07-08
30,2025-07-10
31,2025-07-08
32,2025-07-12
33,2025-07-09
34,2025-07-13
35,2025-07-08
36,2025-07-08
37,2025-07-06
38,2025-07-03
39,2025-07-14
40,2025-07-12
41,2025-07-05
42,2025-07-15
43,2025-07-11
44,2025-07-07
45,2025-07-04
46,2025-07-14
47,2025-07-12
48,2025-07-08
49,2025-07-06
50,2025-07-07
51,2025-07-14
52,2025-07-15
53,2025-07-08
54,2025-07-15
55,2025-07-10
56,2025-07-12
57,2025-07-03
58,2025-07-03
59,2025-07-13
60,2025-07-12
61,2025-07-02
62,2025-07-01
63,2025-07-04
64,2025-07-15
65,2025-07-10
66,2025-07-05
67,2025-07-15
68,2025-07-12
69,2025-07-07
70,2025-07-02
71,2025-07-12
72,2025-07-12
73,2025-07-04
74,2025-07-09
75,2025-07-15
76,2025-07-11
77,2025-07-05
78,2025-07-15
79,2025-07-09
80,2025-07-14
81,2025-07-04
82,2025-07-04
83,2025-07-08
84,2025-07-15
85,2025-07-10
86,2025-07-06
87,2025-07-04
88,2025-07-15
89,2025-07-07
90,2025-07-04
91,2025-07-06
92,2025-07-03
93,2025-07-08
94,2025-07-12
95,2025-07-10
96,2025-07-04
97,2025-07-01
98,2025-07-01
99,2025-07-12
100,2025-07-06
