order_id,product_id,quantity,price
1,10,4,972.02
2,17,5,959.36
2,16,5,334.11
2,6,3,150.31
2,2,5,829.62
3,3,1,948.73
3,16,2,368.1
3,6,4,200.26
3,13,5,837.83
3,3,2,729.26
4,12,3,568.25
4,5,5,213.8
4,19,1,891.38
4,18,1,508.23
5,2,4,668.06
5,12,1,703.01
5,15,4,877.09
5,8,5,330.22
6,10,3,865.8
6,8,2,665.97
6,11,1,141.68
6,11,3,641.32
7,5,5,809.07
7,4,5,825.76
7,18,5,154.89
7,3,1,277.06
8,9,3,645.25
9,2,5,921.62
9,18,1,575.91
9,18,2,869.91
9,19,5,496.89
10,18,4,685.42
10,20,2,849.96
10,18,4,829.14
10,6,1,611.67
10,4,3,668.54
11,17,3,633.96
11,14,5,506.66
11,2,4,615.23
11,12,4,986.86
12,4,2,525.87
13,14,1,213.6
13,13,4,577.62
13,5,2,318.55
13,16,4,256.11
13,19,5,979.25
14,13,2,521.88
15,7,3,879.08
15,15,1,295.5
15,16,5,637.91
16,7,2,282.04
16,6,3,316.54
17,8,3,438.51
17,17,5,922.61
17,17,5,566.21
17,11,4,464.67
18,20,4,344.76
19,8,4,777.78
19,13,2,322.34
19,1,3,119.7
20,6,3,702.83
20,1,4,291.29
20,14,5,127.52
20,13,1,618.84
20,20,4,500.18
21,15,1,808.16
21,19,3,879.9
22,18,1,521.06
22,13,4,747.08
22,12,4,919.13
22,19,2,326.36
23,15,1,200.4
23,5,2,702.14
23,2,4,844.3
23,10,5,997.24
24,18,5,868.39
25,8,4,654.6
25,5,4,847.27
26,5,1,137.42
26,7,4,262.67
26,20,4,295.33
27,13,2,145.41
27,6,3,216.82
28,20,1,202.23
28,5,2,267.55
29,12,5,117.04
29,19,2,535.0
29,10,4,288.98
29,18,4,953.68
29,10,1,678.94
30,14,1,121.79
30,16,4,744.67
31,13,5,908.86
31,11,5,357.62
31,8,5,444.81
31,15,5,270.48
32,3,5,672.03
32,7,5,793.04
32,1,4,524.7
33,8,4,456.23
33,20,5,625.24
33,14,5,727.38
34,15,3,413.33
34,15,4,544.69
34,17,1,642.77
34,12,2,963.35
35,11,5,414.58
35,7,3,933.67
35,6,1,255.08
35,17,1,863.3
36,6,4,314.28
36,3,2,594.79
36,7,3,522.57
36,12,5,991.05
36,15,1,386.83
37,4,3,624.22
38,18,2,318.81
38,8,4,623.83
38,12,5,530.23
39,15,5,167.48
39,13,4,346.59
40,18,2,963.08
40,14,5,227.21
40,9,5,419.68
40,10,5,850.01
41,3,5,270.24
42,16,3,174.64
43,2,1,463.5
44,5,3,765.55
44,10,4,779.75
44,18,1,598.85
45,6,4,914.2
45,5,3,686.4
46,7,4,991.08
46,3,3,547.04
46,10,5,921.76
46,19,5,934.91
46,6,5,195.98
47,17,2,941.75
47,14,5,140.28
47,2,1,896.08
47,10,3,748.7
48,8,1,919.49
48,20,1,816.48
49,16,5,319.82
49,19,2,795.91
49,9,3,201.74
49,7,1,289.6
49,5,1,825.14
50,6,5,250.62
50,17,1,848.91
51,5,5,837.08
51,2,1,138.62
52,8,3,315.95
52,12,5,543.92
53,9,2,285.17
54,18,3,568.92
54,9,1,810.69
54,4,4,818.03
55,18,2,910.08
55,16,5,693.16
55,7,2,278.14
55,4,1,907.0
56,5,3,279.23
56,1,1,284.17
57,4,3,495.28
57,8,2,217.78
57,15,3,975.68
57,3,2,577.92
57,1,4,651.27
58,10,2,835.01
58,4,2,118.4
58,5,5,187.86
59,2,3,558.25
59,1,4,423.91
59,17,1,867.47
60,12,5,663.05
60,2,5,499.74
60,18,3,309.74
61,9,1,999.99
61,2,4,134.55
61,10,1,377.71
61,19,5,590.44
61,17,4,187.42
62,16,1,721.93
62,12,4,736.38
63,12,5,943.41
63,16,3,850.34
63,2,1,785.09
63,3,5,304.49
63,20,2,814.68
64,17,3,118.93
65,12,3,369.66
65,20,2,518.67
65,15,5,242.11
65,11,4,844.03
65,7,3,949.35
66,11,3,690.25
66,13,5,300.45
66,9,5,567.88
66,11,5,985.45
67,15,2,615.71
67,18,2,315.75
67,5,1,777.25
67,19,5,778.94
68,10,1,758.84
69,1,4,651.34
69,1,2,251.01
70,5,2,926.57
70,12,4,962.41
70,20,2,517.59
71,16,5,582.1
71,14,4,393.93
71,3,3,108.59
71,2,2,184.63
72,18,2,601.31
72,17,3,748.39
73,5,4,977.26
74,16,5,198.03
74,8,2,938.83
75,14,3,423.91
75,7,4,921.17
75,11,3,172.73
75,19,3,305.48
76,7,3,398.4
76,5,1,386.35
76,12,2,321.09
77,16,3,805.45
77,14,2,416.83
77,4,3,907.62
77,11,1,611.24
77,5,4,599.39
78,7,4,949.57
78,2,2,298.94
78,14,5,950.03
79,5,4,418.14
79,14,4,319.0
79,19,2,737.33
79,15,1,973.09
79,3,5,551.28
80,11,4,458.97
80,1,3,165.5
81,9,4,836.85
82,2,5,206.61
82,18,3,891.16
82,17,2,147.46
83,2,4,509.91
83,9,2,561.26
83,5,4,730.8
83,5,3,878.26
83,8,4,948.95
84,10,4,571.58
84,18,2,743.22
84,3,1,822.3
84,18,1,589.66
84,13,4,319.63
85,3,3,743.94
86,1,2,327.08
86,1,2,556.02
86,1,4,384.3
86,17,3,501.09
86,8,4,811.24
87,3,1,718.04
87,15,4,304.76
88,19,5,619.14
88,13,2,948.86
88,5,3,791.32
89,19,1,807.87
90,20,3,719.48
90,17,2,976.08
90,4,1,491.12
90,6,3,780.09
91,15,3,227.01
91,20,1,709.39
91,18,3,177.84
92,17,3,234.19
93,18,2,245.81
93,7,2,511.28
93,15,2,267.09
93,12,2,105.2
94,13,1,822.91
95,4,3,578.8
95,4,4,163.14
96,15,2,482.04
96,8,4,572.2
96,3,1,819.55
96,1,2,537.08
96,7,3,605.26
97,11,5,407.25
97,2,1,565.05
98,6,5,316.78
98,15,2,476.38
99,9,3,370.1
99,12,5,593.92
99,11,3,694.84
99,19,1,705.97
99,14,5,476.62
100,1,3,615.33
100,12,5,642.73
100,12,4,145.42
100,16,5,968.45
