order_id,order_date
1,2025-07-10
2,2025-07-08
3,2025-07-10
4,2025-07-06
5,2025-07-09
6,2025-07-09
7,2025-07-14
8,2025-07-13
9,2025-07-12
10,2025-07-15
11,2025-07-09
12,2025-07-07
13,2025-07-13
14,2025-07-03
15,2025-07-06
16,2025-07-08
17,2025-07-11
18,2025-07-07
19,2025-07-08
20,2025-07-01
21,2025-07-07
22,2025-07-08
23,2025-07-07
24,2025-07-03
25,2025-07-05
26,2025-07-11
27,2025-07-15
28,2025-07-02
29,2025-07-11
30,2025-07-10
31,2025-07-03
32,2025-07-03
33,2025-07-02
34,2025-07-14
35,2025-07-03
36,2025-07-14
37,2025-07-01
38,2025-07-05
39,2025-07-05
40,2025-07-15
41,2025-07-02
42,2025-07-03
43,2025-07-03
44,2025-07-05
45,2025-07-13
46,2025-07-14
47,2025-07-11
48,2025-07-02
49,2025-07-14
50,2025-07-02
51,2025-07-06
52,2025-07-15
53,2025-07-14
54,2025-07-07
55,2025-07-15
56,2025-07-13
57,2025-07-11
58,2025-07-15
59,2025-07-14
60,2025-07-08
61,2025-07-05
62,2025-07-05
63,2025-07-14
64,2025-07-13
65,2025-07-07
66,2025-07-07
67,2025-07-11
68,2025-07-08
69,2025-07-10
70,2025-07-08
71,2025-07-13
72,2025-07-12
73,2025-07-12
74,2025-07-06
75,2025-07-08
76,2025-07-13
77,2025-07-02
78,2025-07-14
79,2025-07-13
80,2025-07-01
81,2025-07-01
82,2025-07-02
83,2025-07-14
84,2025-07-08
85,2025-07-15
86,2025-07-10
87,2025-07-12
88,2025-07-11
89,2025-07-15
90,2025-07-15
91,2025-07-02
92,2025-07-12
93,2025-07-10
94,2025-07-08
95,2025-07-03
96,2025-07-09
97,2025-07-08
98,2025-07-01
99,2025-07-06
100,2025-07-08
